stop_id,stop_name,stop_desc,stop_lat,stop_lon
2470,Jedin Sanseverino,,46.051139,11.114415
2472,Lamar "Via Rossa",,46.121491,11.106413
2474,Via Vallunga Bivio M. Pipel,,45.895243,11.052060
2475,Maso Valduga,,45.899926,11.054673
2476,Bosco Della Citta',,45.901613,11.055394
2477,Maso Valduga,,45.899767,11.054287
2478,Via Vallunga Bivio M. Pipel,,45.895243,11.051973
2481,Viale Dei Colli Via Vallunga,,45.891091,11.049783
2482,Viale Dei Colli Via Vallunga,,45.891342,11.049818
2483,Sopramonte "Campra",,46.078491,11.058290
2484,Sopramonte "Campra",,46.078730,11.058131
2485,Brescia "Ca Dei Gai",,46.073335,11.105639
2488,Pranzelores "Top Center",,46.089853,11.118524
2489,Pranzelores "Tridente",,46.086557,11.120064
2490,Povo Pantè,,46.064013,11.150940
2491,Roncafort Caproni,,46.100115,11.099708
2492,Roncafort Bettine,,46.097544,11.102220
2494,Corso Verona Via Cainelli,,45.877270,11.035963
2497,"Ponte di Ravina",,46.045489,11.113301
2498,"Ponte di Ravina",,46.045520,11.113603
2499,Villazzano "Chiesa",,46.049487,11.143843
2500,Ss 45 "Scala",,46.077367,11.099792
2501,Sopramonte "M.Petoci",,46.066953,11.059509
2502,Vigo Meano Don Perugini,,46.132987,11.133921
2504,Mori Via Del Garda,,45.851519,10.972511
2505,Cognola "Chiesa",,46.076326,11.141355
2506,Muralta Valsugana,,46.076656,11.130377
2508,Toldi,,45.897970,11.061612
2509,Costa,,45.884401,11.072918
2510,Sp.2 Bivio Per Cisterna,,45.881281,11.075365
2511,Isera Piazza S.Vincenzo,,45.885459,11.009157
2512,Ss.12 Lavini Biotopo,,45.853961,11.015507
2513,Ss.12 Lavini Biotopo,,45.853465,11.014536
2514,Ss.240 Ponte Sull'adige,,45.863191,10.997289
2515,Ss.240 Ponte Sull'adige,,45.863235,10.997355
2520,Verdi Inama,,46.066496,11.117759
2521,Gazzadina Le Case Nòve,,46.134118,11.128307
2522,Gazzadina Del Porfido,,46.130582,11.126162
2524,Cimirlo,,46.067613,11.184700
2525,"Eremo",,46.068317,11.178756
2526,Celva,,46.070701,11.176484
2527,Via Eremo,,46.067996,11.175565
2528,"Maso di Brenz",,46.065719,11.172233
2529,Borino Civ.69,,46.066125,11.168745
2530,Borino,,46.067180,11.165118
2532,Borino Civ.69,,46.066010,11.168863
