route_id,service_id,trip_id,shape_id 
3_ritorno,S,1078,3_ritorno 
3_ritorno,S,1079,3_ritorno 
3_ritorno,S,1080,3_ritorno 
3_ritorno,S,1081,3_ritorno 
3_ritorno,S,1082,3_ritorno 
3_ritorno,S,1083,3_ritorno 
3_ritorno,S,1084,3_ritorno 
3_ritorno,S,1085,3_ritorno 
3_ritorno,S,1086,3_ritorno 
3_ritorno,S,1087,3_ritorno 
3_ritorno,S,1088,3_ritorno 
3_ritorno,S,1089,3_ritorno 
3_ritorno,S,1090,3_ritorno 
3_ritorno,S,1091,3_ritorno 
3_ritorno,S,1092,3_ritorno 
3_ritorno,S,1093,3_ritorno 
3_ritorno,S,1094,3_ritorno 
3_ritorno,S,1095,3_ritorno 
3_ritorno,S,1096,3_ritorno 
3_ritorno,S,1097,3_ritorno 
3_ritorno,S,1098,3_ritorno 
3_ritorno,S,1099,3_ritorno 
3_ritorno,S,1100,3_ritorno 
3_ritorno,S,1101,3_ritorno 
3_ritorno,S,1102,3_ritorno 
3_ritorno,S,1103,3_ritorno 
3_ritorno,S,1104,3_ritorno 
3_ritorno,S,1105,3_ritorno 
3_ritorno,S,1106,3_ritorno 
3_ritorno,S,1107,3_ritorno 
3_ritorno,S,1108,3_ritorno 
3_ritorno,S,1109,3_ritorno 
3_ritorno,S,1110,3_ritorno 
3_ritorno,S,1111,3_ritorno 
3_ritorno,S,1112,3_ritorno 
3_ritorno,S,1113,3_ritorno 
3_ritorno,S,1114,3_ritorno 
3_ritorno,S,1115,3_ritorno 
3_ritorno,S,1116,3_ritorno 
3_ritorno,S,1117,3_ritorno 
3_ritorno,S,1118,3_ritorno 
3_ritorno,S,1119,3_ritorno 
3_ritorno,S,1120,3_ritorno 
3_ritorno,S,1121,3_ritorno 
3_ritorno,S,1122,3_ritorno 
3_ritorno,S,1123,3_ritorno 
3_ritorno,S,1124,3_ritorno 
3_ritorno,S,1125,3_ritorno 
3_ritorno,S,1126,3_ritorno 
3_ritorno,S,1127,3_ritorno 
3_ritorno,S,1128,3_ritorno 
3_ritorno,S,1129,3_ritorno 
3_ritorno,S,1130,3_ritorno 
3_ritorno,S,1131,3_ritorno 
3_ritorno,S,1132,3_ritorno 
3_ritorno,S,1133,3_ritorno 
3_ritorno,S,1134,3_ritorno 
3_ritorno,S,1135,3_ritorno 
3_ritorno,S,1136,3_ritorno 
3_ritorno,S,1137,3_ritorno 
3_ritorno,S,1138,3_ritorno 
3_ritorno,S,1139,3_ritorno 
3_ritorno,S,1140,3_ritorno 
3_ritorno,S,1141,3_ritorno 
3_ritorno,S,1142,3_ritorno 
3_ritorno,S,1143,3_ritorno 
3_ritorno,S,1144,3_ritorno 
3_ritorno,S,1145,3_ritorno 
3_ritorno,S,1146,3_ritorno 
3_ritorno,S,1147,3_ritorno 
